功能,設置路段,設置地點,緯度,經度,行政區,拍攝方向,速限-速度限制
測速,環河北路3段,葫蘆街,25.08245929,121.5073719,士林區,南向北,50
測速,仰德大道2段,115巷口,25.10824082,121.5460187,士林區,下山方向,40
測速,仰德大道4段75號,格致中學前,25.13206152,121.5464555,士林區,上下山雙向,40
測速,承德路4段,百齡高中前,25.08651629,121.5229866,士林區,南向北,50
測速,仰德大道2段,29巷口,25.10405783,121.5425043,士林區,下山方向,40
測速,環河北路2段,近敦煌路,25.07897186,121.5082596,大同區,北向南,60
測速,承德路4段,通河街,25.08035547,121.5222158,大同區,北向南,50
測速,承德路3段,敦煌路,25.07450558,121.5199333,大同區,南北雙向,50
測速(兼闖紅燈),台北橋機車道下橋,民權西路  延平北路,25.06287864,121.5108324,大同區,西向東,50
測速,基隆高架道,下敦化南路段,25.01850222,121.5459226,大安區,南向北,60
測速,辛亥路3段,157巷(下北二高),25.01722043,121.548786,大安區,東向西,50
測速,新生南路,金華街口,25.03034497,121.5336904,大安區,北向南,50
測速,和平東路1段,國立師範大學前,25.02673255,121.5267673,大安區,西向東,50
測速,建國南路2段,179號往北,25.02772621,121.5378418,大安區,南向北,50
測速,市民大道3段,214號前,25.0444703,121.5399541,大安區,西向東,40
測速,基隆路3段,長興街,25.01659683,121.5438055,中正區,南向北,50
測速,建國高架道,和平東路上方,25.02612189,121.5376363,中正區,北向南,70
測速,新生南路3段,58號台大側門,25.02003322,121.534073,中正區,南向北,50
測速,建國高架道,長春路入口,25.05268643,121.5367159,中山區,北向南,70
測速,新生北路高架道,民族東路入口(往南),25.066527,121.527737,中山區,北向南,70
測速,復興北路,車行地下道北出口處,25.07178967,121.5443293,中山區,南向北,40
測速,樂群一路,基湖路口西往東天橋下(金泰公園),25.07656613,121.5663528,中山區,西向東,50
測速,明水路,325號,25.07762563,121.5407676,中山區,東西雙向,50
測速,市民高架道,下建國南路,25.04463181,121.5424435,中正區,東西雙向,80
測速,北安路,海軍司令部前,25.07790066,121.5363861,中山區,東西雙向,50
闖紅燈、測速,中山北路2段,長春路口,25.05473185,121.5227702,中山區,南往北,50
測速(兼闖紅燈),建國北路,農安街口,25.06500011,121.5365678,中山區,北向南,50
測速,中華路1段,５３號前,25.04308855,121.508633,中正區,南向北,50
測速,仁愛路2段,(61號前右車道)臨沂街口,25.03827359,121.5301224,中正區,東向西,50
測速,市民大道(高架道),京站百貨前,25.04820806,121.5198336,中正區,西向東,80
測速,行義路,241號,25.13483514,121.5286791,北投區,北向南,40
測速,重慶南路3段,27巷口,25.02855774,121.5156319,中正區,南北雙向,50
測速,水源快速道路,同安街口,25.02085895,121.5201766,中正區,南向北,60
測速(兼闖紅燈),仰德大道3段,陽明山國小前,25.1198821,121.5529741,士林區,往下山方向,40
測速,金湖路,200號前,25.07784255,121.6002407,內湖區,南向北,50
測速,文德路,66巷口,25.07845548,121.5809448,內湖區,西向東,50
測速,環東大道,(南京東路6段368巷口上方),25.05977875,121.5863778,內湖區,東向西,80
測速,潭美街,新明路460巷,25.05339912,121.5785384,內湖區,西向東,40
測速,行善路233號,,25.06103681,121.5832953,內湖區,西向東,50
測速,成功路2段,373號,25.07465666,121.5899919,內湖區,北向南,50
測速,內湖路1段,324號,25.08177943,121.5700568,內湖區,西向東,50
測速,成功路5段,152巷口,25.08303808,121.6040906,內湖區,西向東,50
測速,民權東路6段,423巷口,25.07128214,121.6042394,內湖區,東向西,50
測速,信義快速道路,文山隧道往南出口處,25.00894152,121.5811719,文山區,北向南,70
測速,木柵路5段,木柵路5段近100之1號,24.99909565,121.5913957,文山區,西向東,50
